_step,f3kbnp7c/performance,83sw56vv/performance,f96rsm1t/performance,1s9kajmx/performance,2jwyaqd5/performance,2p8se09u/performance,rfa4es0v/performance,1j156n0b/performance,wmf1spi3/performance,pubsh5iz/performance,i604q9kk/performance,i66q5q6c/performance,inkc423m/performance,j8345wrp/performance,8ulcfals/performance,cpxcapzp/performance,pn2k2cdo/performance,zbeoiuwc/performance,cdo8tivu/performance,5fjfcuva/performance,tq05ghvb/performance,lg8hfri5/performance,9l680v6n/performance,lltfqvn0/performance,ugqphff1/performance,osh6mo8g/performance,mfhyzfnx/performance,aovniy7l/performance,o840aya9/performance,nahuxk0l/performance
14417920.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15400960.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15728640.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16056320.0,0.0,0.8,0.3333333333333333,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16384000.0,0.0,1.0,0.2,0.0,0.0,0.75,0.0,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16711680.0,0.0,1.0,0.625,0.0,0.0,0.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
17039360.0,0.6,0.9166666666666666,0.5714285714285714,0.0,0.0,0.7575757584788583,0.0,0.0,0.9666666686534882,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.7380952409335545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17367040.0,0.4166666666666667,0.9,0.25,0.0,0.0,0.8181818181818182,0.16666666666666666,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.589743591271914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
17694720.0,0.6666666666666666,1.0,0.3888888905445735,0.0,0.0,0.7916666679084301,0.14285714285714285,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.7407407429483202,0.0,0.0,0.0,0.589743591271914,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.16666666666666666
18022400.0,0.5833333358168602,0.8333333333333334,0.5000000022924863,0.0,0.0,0.8877777814865112,0.19047619189534867,0.0,0.5666666726271311,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.680555559694767,0.18939394029704007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40476190618106295,0.0,0.0
18350080.0,0.5555555572112402,0.84375,0.530303031206131,0.0,0.0,0.970238097012043,0.3333333333333333,0.0,0.6666666716337204,0.0,0.0,0.0,0.0,0.0,0.9500000008514949,0.0,0.0,0.0,0.875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.09090909090909091
18677760.0,0.5726190507411957,0.9088888883590698,0.5729166679084301,0.0,0.0,0.8156250044703484,0.23809524093355453,0.03125,0.5366666704416275,0.0,0.0,0.0,0.0,0.0,0.8869047633239201,0.0,0.0,0.0,0.678253972530365,0.43111111521720885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5170068059648786,0.0,0.1
19005440.0,0.7651515169577165,0.9277777751286824,0.4722222238779068,0.0,0.0,0.8555555582046509,0.3589743605026832,0.0,0.6866666694482167,0.0,0.0,0.0,0.0,0.0,0.7435897451180679,0.125,0.0,0.0,0.7371794902361356,0.40151515332135285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833333373069763,0.0,0.09090909090909091
19333120.0,0.8157575786113739,0.9427083358168602,0.6360317528247833,0.0,0.0,0.7674107197672129,0.65,0.0,0.7064732182770967,0.0,0.0,0.0,0.0,0.0,0.854285717010498,0.1,0.0,0.0,0.7041799028714498,0.3968750014901161,0.0,0.0,0.3888888888888889,0.045454545454545456,0.0,0.0,0.0,0.7222222263614336,0.0,0.14880952451910293
19660800.0,0.5777777830759684,0.9718750007450581,0.6880952437718709,0.0,0.0,0.8104761918385823,0.47555555899937946,0.0,0.5522222290436427,0.0,0.0,0.0,0.0,0.0,0.8222222248713176,0.0,0.0,0.0,0.7302837977806728,0.3739583399146795,0.0,0.0,0.13636363636363635,0.1111111119389534,0.0,0.0,0.0,0.4472222241262595,0.0,0.1444444457689921
19988480.0,0.5559523914541517,0.8988095261156559,0.6193650841712952,0.0,0.0,0.7932291701436043,0.6888888915379842,0.0,0.6427083406597376,0.0,0.0,0.0,0.0,0.0,0.8895089328289032,0.08888888955116273,0.0,0.0,0.7038888911406199,0.6705357208848,0.0,0.0,0.09090909090909091,0.1,0.0,0.0,0.0,0.6773809577737536,0.0,0.22916666666666666
20316160.0,0.41979166958481073,0.7678571492433548,0.6994047649204731,0.0,0.0,0.7562500052154064,0.46190476417541504,0.023809524519102915,0.6552579468116164,0.0,0.0,0.0,0.0,0.0,0.8677083346992731,0.05555555555555555,0.0,0.0,0.6732255667448044,0.7310515958815813,0.0,0.0,0.22692307715232557,0.07142857142857142,0.0,0.0,0.0,0.5400000075499217,0.0,0.17812500335276127
